,osm_type,osm_id,internal_id,query,latlong_score,name_score,name_has_substring,categories_score,address_score,addr_has_substring,confidence
705,way,373219463,0x130e5b7d605a3d1f:0x388cd582ad98e6e,"San Tomaso Restaurant, Triq il-Qaliet, Marsascala",3.864394251732097e-05,0.91,False,0.72,0.78,False,0.7839998963688586
706,node,6948511785,0x130e5b84d4a87d8b:0xa42da01a8951e306,"Birgi, Triq San Lawrenz 97",0.00012083811484837376,1.0,False,0.2,0.76,False,0.7579996584253577
707,node,1395201143,0x130e5b983fd5ae49:0x9f6b4f96d93d643a,"Southport, Xatt is-Sajjieda, Marsaxlokk",6.407440986720471e-05,0.55,True,1.0,0.7,False,0.799999822750325
708,node,1426790734,0x130e5b98421c48a1:0x969e1ed7778ab19,"Marsaxlokk Police, Xatt is-Sajjieda 90, Marsaxlokk",0.00035130335893688924,0.39,False,1.0,0.52,False,0.642998991252668
709,node,1426810625,0x130e5b9843f7d48d:0xc8c8f7c8bceaca3a,"Pisces, Xatt is-Sajjieda 89, Marsaxlokk",2.4203305559364898e-05,0.35,True,1.0,0.8,False,0.7449999381729867
710,node,1450520758,0x130e5b9844e0c169:0x64943ef69ddeb7bb,"la Nostra Padrona, Xatt is-Sajjieda 87, Marsaxlokk",2.2664509702385498e-05,0.76,True,1.0,0.91,False,0.8734999426276392
711,node,1426810634,0x130e5b98fd345c79:0xbc8f292d56c056be,"Costa, Triq iz-Zejtun, Marsaxlokk",3.5124065823933385e-05,0.36,True,1.0,0.89,False,0.752499906558532
712,node,4485088804,0x130e5b991ec984f7:0x45b7571eadc07ebe,"Tartarun, Xatt is-Sajjieda 29",6.422592934385086e-05,0.59,True,1.0,0.65,False,0.809499822311692
713,node,2464371263,0x130e5ba2a7f7e2b1:0x8c8387d6ba6329d1,"Harbour Lodge, Triq San Piju V 38, MXK1472, Marsaxlokk",6.830644186382224e-05,1.0,False,0.36,0.5,False,0.7609998104990366
714,node,7203339588,0x130e5bb05dc8e9e3:0xfa29c884b0bf6218,"Malta Office Chairs and More, Triq il-Belt Valletta, QRM3613, Qormi",0.0001799873606665241,1.0,False,1.0,0.81,False,0.8404994871944999
715,node,3864931382,0x130e5bb7ef5b732f:0xc2664983d3c6a374,"Xtremefishing Malta, Triq San Gorg, Birzebbuga",8.488262484198915e-05,0.37,False,0.69,0.55,False,0.6074997625127269
716,node,1430995075,0x130e5bb802e9fd1b:0xc68e9ad9cbfff1d5,"Kunsill Lokali Birzebbuga, Triq Santa Marija, BBG 1651",0.00021626338108918228,0.82,False,0.33,0.55,False,0.7064993821792286
717,node,5902149137,0x130e5bb8ac52dfb7:0xe3e984017e44ad09,"Happy Wok, Xatt ta' Ta' Xbiex 15",7.762113114397291e-05,1.0,False,1.0,0.58,False,0.828999783533989
718,way,788972693,0x130e5bc3257d1627:0xc23f16a579169d15,"Chain Supermarket, Triq L-Inhasa, ZBR2853, Zabbar",0.0001543690085548427,1.0,False,0.88,0.6,False,0.8179995613569401
719,node,2485599583,0x130e5bc51e1a95e3:0x3e3ffa186cf66cd3,"Twist ice cream parlour, Ix-Xatt tal-Birgu, BRG 1721, Vittoriosa Birgu",3.548027620435572e-05,0.28,False,1.0,0.61,False,0.6144999055273405
720,node,7171400978,0x130e5bc8253833b1:0x6f5f0ea8497cd811,"Inspire Charity Shop, Triq Żaren Dalli, Birżebbugia",0.0014728957736335052,0.78,True,1.0,0.81,False,0.8744957443603609
